#Incident Continuum, Enr	nFn 
2.80235e-07	2.850e-08
2.81640e-07	2.893e-08
2.83051e-07	2.937e-08
2.84470e-07	2.981e-08
2.85896e-07	3.026e-08
2.87328e-07	3.072e-08
2.88768e-07	3.118e-08
2.90216e-07	3.165e-08
2.91670e-07	3.213e-08
2.93132e-07	3.261e-08
2.94601e-07	3.311e-08
2.96078e-07	3.361e-08
2.97562e-07	3.411e-08
2.99053e-07	3.463e-08
3.00552e-07	3.515e-08
3.02058e-07	3.568e-08
3.03572e-07	3.622e-08
3.05093e-07	3.677e-08
3.06622e-07	3.732e-08
3.08159e-07	3.789e-08
3.09704e-07	3.846e-08
3.11256e-07	3.904e-08
3.12816e-07	3.963e-08
3.14384e-07	4.023e-08
3.15959e-07	4.083e-08
3.17543e-07	4.145e-08
3.19134e-07	4.208e-08
3.20734e-07	4.271e-08
3.22341e-07	4.336e-08
3.23957e-07	4.401e-08
3.25580e-07	4.468e-08
3.27212e-07	4.535e-08
3.28852e-07	4.603e-08
3.30500e-07	4.673e-08
3.32156e-07	4.744e-08
3.33821e-07	4.815e-08
3.35494e-07	4.888e-08
3.37176e-07	4.962e-08
3.38866e-07	5.037e-08
3.40564e-07	5.113e-08
3.42271e-07	5.190e-08
3.43986e-07	5.268e-08
3.45710e-07	5.348e-08
3.47443e-07	5.428e-08
3.49184e-07	5.510e-08
3.50934e-07	5.593e-08
3.52693e-07	5.678e-08
3.54461e-07	5.764e-08
3.56237e-07	5.851e-08
3.58023e-07	5.939e-08
3.59817e-07	6.029e-08
3.61620e-07	6.120e-08
3.63433e-07	6.212e-08
3.65254e-07	6.306e-08
3.67085e-07	6.401e-08
3.68924e-07	6.498e-08
3.70773e-07	6.596e-08
3.72632e-07	6.695e-08
3.74499e-07	6.796e-08
3.76376e-07	6.899e-08
3.78262e-07	7.003e-08
3.80158e-07	7.109e-08
3.82064e-07	7.216e-08
3.83978e-07	7.325e-08
3.85903e-07	7.436e-08
3.87837e-07	7.548e-08
3.89781e-07	7.662e-08
3.91734e-07	7.777e-08
3.93698e-07	7.895e-08
3.95671e-07	8.014e-08
3.97654e-07	8.135e-08
3.99647e-07	8.258e-08
4.01650e-07	8.382e-08
4.03663e-07	8.509e-08
4.05686e-07	8.637e-08
4.07719e-07	8.768e-08
4.09762e-07	8.900e-08
4.11816e-07	9.034e-08
4.13880e-07	9.171e-08
4.15954e-07	9.309e-08
4.18039e-07	9.450e-08
4.20134e-07	9.592e-08
4.22240e-07	9.737e-08
4.24356e-07	9.884e-08
4.26483e-07	1.003e-07
4.28620e-07	1.018e-07
4.30768e-07	1.034e-07
4.32927e-07	1.049e-07
4.35097e-07	1.065e-07
4.37278e-07	1.081e-07
4.39469e-07	1.098e-07
4.41672e-07	1.114e-07
4.43885e-07	1.131e-07
4.46110e-07	1.148e-07
4.48346e-07	1.165e-07
4.50593e-07	1.183e-07
4.52851e-07	1.201e-07
4.55121e-07	1.219e-07
4.57402e-07	1.237e-07
4.59694e-07	1.256e-07
4.61998e-07	1.275e-07
4.64314e-07	1.294e-07
4.66641e-07	1.314e-07
4.68979e-07	1.334e-07
4.71330e-07	1.354e-07
4.73692e-07	1.374e-07
4.76066e-07	1.395e-07
4.78452e-07	1.416e-07
4.80850e-07	1.437e-07
4.83260e-07	1.459e-07
4.85682e-07	1.481e-07
4.88116e-07	1.503e-07
4.90563e-07	1.526e-07
4.93021e-07	1.549e-07
4.95492e-07	1.572e-07
4.97975e-07	1.596e-07
5.00471e-07	1.620e-07
5.02980e-07	1.645e-07
5.05500e-07	1.670e-07
5.08034e-07	1.695e-07
5.10580e-07	1.720e-07
5.13139e-07	1.746e-07
5.15711e-07	1.773e-07
5.18295e-07	1.799e-07
5.20893e-07	1.827e-07
5.23504e-07	1.854e-07
5.26127e-07	1.882e-07
5.28764e-07	1.910e-07
5.31414e-07	1.939e-07
5.34078e-07	1.969e-07
5.36754e-07	1.998e-07
5.39444e-07	2.028e-07
5.42148e-07	2.059e-07
5.44865e-07	2.090e-07
5.47596e-07	2.122e-07
5.50340e-07	2.154e-07
5.53099e-07	2.186e-07
5.55871e-07	2.219e-07
5.58657e-07	2.253e-07
5.61457e-07	2.287e-07
5.64271e-07	2.321e-07
5.67099e-07	2.356e-07
5.69941e-07	2.392e-07
5.72797e-07	2.428e-07
5.75668e-07	2.464e-07
5.78553e-07	2.502e-07
5.81453e-07	2.539e-07
5.84367e-07	2.578e-07
5.87296e-07	2.616e-07
5.90239e-07	2.656e-07
5.93197e-07	2.696e-07
5.96170e-07	2.737e-07
5.99158e-07	2.778e-07
6.02161e-07	2.820e-07
6.05179e-07	2.862e-07
6.08212e-07	2.906e-07
6.11260e-07	2.949e-07
6.14324e-07	2.994e-07
6.17403e-07	3.039e-07
6.20497e-07	3.085e-07
6.23607e-07	3.131e-07
6.26732e-07	3.179e-07
6.29873e-07	3.227e-07
6.33030e-07	3.275e-07
6.36203e-07	3.325e-07
6.39391e-07	3.375e-07
6.42596e-07	3.426e-07
6.45816e-07	3.477e-07
6.49053e-07	3.530e-07
6.52306e-07	3.583e-07
6.55575e-07	3.637e-07
6.58861e-07	3.692e-07
6.62163e-07	3.748e-07
6.65482e-07	3.804e-07
6.68817e-07	3.862e-07
6.72169e-07	3.920e-07
6.75538e-07	3.979e-07
6.78924e-07	4.039e-07
6.82326e-07	4.100e-07
6.85746e-07	4.162e-07
6.89183e-07	4.225e-07
6.92637e-07	4.288e-07
6.96108e-07	4.353e-07
6.99597e-07	4.419e-07
7.03103e-07	4.485e-07
7.06627e-07	4.553e-07
7.10169e-07	4.621e-07
7.13728e-07	4.691e-07
7.17305e-07	4.762e-07
7.20900e-07	4.834e-07
7.24513e-07	4.907e-07
7.28144e-07	4.981e-07
7.31793e-07	5.056e-07
7.35461e-07	5.132e-07
7.39147e-07	5.209e-07
7.42852e-07	5.288e-07
7.46575e-07	5.368e-07
7.50316e-07	5.449e-07
7.54077e-07	5.531e-07
7.57856e-07	5.614e-07
7.61654e-07	5.699e-07
7.65472e-07	5.785e-07
7.69308e-07	5.872e-07
7.73164e-07	5.960e-07
7.77039e-07	6.050e-07
7.80933e-07	6.142e-07
7.84847e-07	6.234e-07
7.88780e-07	6.328e-07
7.92734e-07	6.424e-07
7.96707e-07	6.520e-07
8.00700e-07	6.619e-07
8.04713e-07	6.719e-07
8.08746e-07	6.820e-07
8.12799e-07	6.923e-07
8.16873e-07	7.027e-07
8.20967e-07	7.133e-07
8.25081e-07	7.241e-07
8.29216e-07	7.350e-07
8.33372e-07	7.460e-07
8.37549e-07	7.573e-07
8.41747e-07	7.687e-07
8.45965e-07	7.803e-07
8.50205e-07	7.921e-07
8.54466e-07	8.040e-07
8.58749e-07	8.161e-07
8.63053e-07	8.284e-07
8.67378e-07	8.409e-07
8.71725e-07	8.536e-07
8.76094e-07	8.665e-07
8.80485e-07	8.795e-07
8.84898e-07	8.928e-07
8.89333e-07	9.062e-07
8.93790e-07	9.199e-07
8.98270e-07	9.338e-07
9.02772e-07	9.478e-07
9.07296e-07	9.621e-07
9.11843e-07	9.766e-07
9.16413e-07	9.913e-07
9.21006e-07	1.006e-06
9.25622e-07	1.021e-06
9.30261e-07	1.037e-06
9.34924e-07	1.052e-06
9.39609e-07	1.068e-06
9.44318e-07	1.084e-06
9.49051e-07	1.101e-06
9.53808e-07	1.117e-06
9.58588e-07	1.134e-06
9.63392e-07	1.151e-06
9.68221e-07	1.169e-06
9.73073e-07	1.186e-06
9.77950e-07	1.204e-06
9.82851e-07	1.222e-06
9.87777e-07	1.241e-06
9.92728e-07	1.259e-06
9.97703e-07	1.278e-06
1.00270e-06	1.298e-06
1.00773e-06	1.317e-06
1.01278e-06	1.337e-06
1.01786e-06	1.357e-06
1.02296e-06	1.378e-06
